question,a,b,c,d,answer
'লেফাফা দুরস্ত' বাগধারাটির অর্থ কী?,অলস,পরিশ্রমী,পরিপাটি,দীর্ঘজীবী,c
কোন বাগধারাটির অর্থ 'চাতুরি করা'?,শিমুলফুল,শেষরক্ষা,ফতোনবাব,লেজে খেলা,d
'লঙ্কাকাণ্ড' বোঝায় কোনটি?,দক্ষযজ্ঞ,তুলকালাম,হাটে হাঁড়ি,ভণ্ডপীর,b
'লম্বা দেওয়া' বাগধারাটির অর্থ-,পালনো,দীর্ঘ বক্তৃতা,বড় আকৃতির মেঘ,ঘরে যাওয়া,a
'লক্ষীর বরযাত্রা' বাগধারাটির অর্থ-,মঙ্গলের সূচনা,ভাগ্যবান লোক,ধনাঢ্য ব্যক্তি,সুসময়ের বন্ধু,d
'শাঁখের করাত' বাগধারার অর্থ কি?,সংকট,বিপদ পায়রা,উভয় সংকট,অনিষ্ট,c
'শিবরাত্রির সলতে' বাগধারার অর্থ?,একমাত্র সন্তান,কন্যা সন্তান,পুত্র সন্তান,যমজ,a
'শিরে-সংক্রান্তি' বাগধারাটির অর্থ কি?,আসন্ন বিপদ,মাথাব্যথা,মহাবিপদ,মাথার বোঝা,a
'শিকায় তোলা' বাগধারাটির অর্থ-,মুলতুবি রাখা,সর্বনাশ করা,বিগড়ে দেওয়া,গোপন করা,a
'শিঙে ফোঁকা' - এর সমার্থক বাগধারা-,অক্কা পাওয়া,ঘটিকা উলটানো,লালবাতি জ্বলা,রক্তগঙ্গা করা,a
'শিয়ালের যুক্তি' বাগধারাটির অর্থ কি?,পাণ্ডিত্য কথা,অকেজো যুক্তি,দীর্ঘ প্রত্যাশা,গুরুতর যুক্তি,b
'শ্রীঘর' বাগধারাটির অর্থ কি?,আরামপ্রিয় ঘর,সুন্দর বসার স্থান,সাজানো গোছানো ঘর,জেলখানা,d
'অনিষ্ট করতে গিয়ে ভাল করা' কে কী বলে?,ভিজে বিড়াল,শাপে বর,কপাল ফেরা, অদৃষ্টের পরিহাস,b
'ষোলকলা' অর্থ-,একটাকা,সম্পূর্ণ,সুন্দর কলা,ষোলটি কলা,b
'সাক্ষী গোপাল' অর্থ কি?,সক্রিয় দর্শক,কর্তব্যবিমুখ,কর্তব্যপরায়ণ,নিষ্ক্রিয় দর্শক,d
'শরতের শিশির' বাগধারাটির অর্থ কি?,সচেতন হওয়া,কাশফুলের শিশির,দুঃসময়ে,ক্ষণস্থায়ী,d
শরতের শিশির বাগধারা শব্দটির অর্থ কী?,সুসময়ের বন্ধু,সুসময়ের সঞ্চয়,শরতের শোভা,শরতের শিউলি ফুল,a
সঠিক অর্থ কোনটি? 'সাপে-নেউলে'-,শত্রুতা,বন্ধুত্ব,অতিশয় ভাল সম্পর্ক,মহাবিপদ,a
'সিঁদুরে মেঘ' বাগধারাটির অর্থ কী?,বড় বিপদ,অল্পে ভয়,বিপদের আশঙ্কা,আকাশ লাল,c
'সোনার পাথরবাটি' বাগধারাটির অর্থ কী?,যর্থার্থ,অল্পে ভয়,বিপদের আশাঙ্কা,আকাশ লাল,c
'সাত সতেরো' এর অর্থ কি?,অপ্রয়োজনীয় কথা,বিশৃঙ্খল অবস্থা,দুরবস্থা,দু-রকম,a
'সুলুক-সন্ধান' বাগধারাটির অর্থ  হলো :,সঠিক সংবাদ,আত্বপরিচয় লাভ,ব্যাকুল কামনা,খোঁজ-খবর,d
'সপ্তকাণ্ড রামায়ণ' বাগধারাটির অর্থ  কী?,বৃহৎ বিষয়,গ্রন্থ,ছোটগল্প,কোনোটিই নয়,a
'হাড় হাভাতে' - বাগধারাটির অর্থ কোনটি?,রোগা,দরিদ্র,হতভাগ্য,ক্ষুধার্ত,c
'হাড় জুড়ানো' বাগধারাটির অর্থ কী?,স্বস্তি লাভ করা,মারা যাওয়া,বিশ্রাম নেয়া,আরোগ্য লাভ করা,a
'হালে পানি পাওয়া' অর্থ কী?,বিপদে পতিত হওয়া,বিপদমুক্ত হওয়া,বিপদাপন্ন হওয়া,বিপদে ধৈর্য ধারণ করা,b
নিচের কোনটির অর্থ নেতিবাচক নয়?,গোঁফ-খেজুরে,অকাল কুষ্মণ্ড,গোবর গণেশ,অন্ধের যষ্ঠি,d
কোনটি বাগধারার পরিবর্তনসঙ্গ ভুলের উদাহারণ?,ঘোড়ার ডিম,গৌরীসেনের টাকা,গোড়ায় গলদ,ঘোটকের ডিম্ব,d
