question,a,b,c,d,answer
'মেঘ' শব্দের সমার্থক-,খগ,দ্রুম,বরুণ,পর্জন্য,d
'কাদম্বিনী' শব্দের অর্থ কি?,নদী,মেঘমালা,হিতকামনা,বলহীন,b
'বলাহক' শব্দের সমার্থক-,জলাশয়,নদী,মেঘ,আকাশ,c
'অভ্র' শব্দের অর্থ কি?,কন্যা,স্রোত,মেঘ,জলধি,c
কোনটি 'মেঘ' শব্দের প্রতিশব্দ নয়?,জলদ,বারিদ,জীমূত,অন্তরিক্ষ,d
'মেঘ' এর সঠিক সমার্থক শব্দ নয় কোনটি?,পাদপ,বারিদ,অম্বুদ,জলদ,a
কোনটি 'মেঘ' শব্দের সমার্থক শব্দ নয়?,বলাহক,পর্জন্য,অম্বুদ,জলদ,a
অভিনিবেশ' শব্দটির অর্থ কি?,অভিরুচি,নিস্পৃহ,মনোযোগ,বিশেষভাবে,c
'মন' শব্দের প্রতিশব্দ নয় কোনটি?,চিত্ত,অন্তর,দিল,শাহ,d
'আহব' শব্দের অর্থ কি?,আহবান,আগমন,অস্ত্রশস্ত্র,যুদ্ধ,d
রাত্রির সমার্থক শব্দ-,শর্বরী,শরবী,শফরী,শশী,a
'বিভাবরী' শব্দের অর্থ-,নদী,নারী,রাত্রি,দুপুর,c
'রজনি'- শব্দের সমার্থক কোনটি?,জ্যোৎস্না,রাজা,তিমির,শর্বরী,d
'যামিনী' এর প্রতিশব্দ কোনটি?,প্রসূন,দামিনী,শর্বরী,নিকর,c
'রাত্রি' শব্দের সমার্থক শব্দ নয় কোনটি?,শর্বরী,ত্রিযামা,ক্ষণদা,ভানু,d
কোনটি 'নিশা'র সমার্থক শব্দ নয়?,যামিনী,শর্বরী,বিভাবরী,অরাতি,d
'রাজা' শব্দের সমার্থক শব্দ কোনটি?,নরেন্দ্র,জমিদার,মহেন্দ্র,সফেদ,a
কোনটি প্রতিশব্দ নয়: 'রাজা',নরেন্দ্র,কিরণমালী,নৃপতি,ভূপাল,b
'রাজা' শব্দের সমার্থক শব্দ নয় কোনটি?,নৃপতি,অম্বুপতি,মহিপতি,নৃপ,b
'সূর্য' এর প্রতিশব্দ-,সুধাংশু,শশাংক,বিধু,আদিত্য,d
'সূর্য' শব্দের সমার্থক শব্দ কোনটি?,অর্ণব,অংশুমালী,প্রসূন,পল্লব,b
নিচের কোনটি সূর্যের প্রতিশব্দ?,সবিতা,অবনি,সুধাকার,কলানিধি,a
'সূর্য' এর সমার্থক শব্দ-,বিবস্বান,মরুৎ,উরগ,ক্ষিতি,a
'সূর্য' এর সমার্থক প্রতিশব্দ-,হিরন,দ্যুলোক,মিহির,ধরিত্রী,c
'সূর্য' শব্দের সমার্থক শব্দ কোনটি?,শুল্ক,ভূজঙ্গ,দ্যুলোক,দিনমণি,d
'সূর্য' শব্দের সমার্থক শব্দ কোনটি?,অর্ণব,অর্ক,প্রসূন,পল্লব,b
'অর্ক' শব্দের সমার্র শব্দ হচ্ছে-,বায়ু,সমুদ্র,প্রভাকর,নভমণ্ডল,c
কোন গুচ্ছ 'সূর্য'- এর সমার্থ শব্দ?,"ভূধর, বহিত্র","শীতাংশু, সেতারা","আফতাব, আদিত্য","শীকর, সমীরণ",c
'সূর্য' শব্দের প্রতিশব্দ কোনটি?,সুধাংশু,শশাঙ্ক,বিধু,ভানু,d
'সূর্য' এর সমার্থক শব্দ কোনটি?,কলু,পূষন,মনীবক,অগ্নিসন,b
কোনটি সূর্যের এর সমার্থক শব্দ ?,মাতঙ্গ,অবনি,কলানিধি,বিভাবসু,d
'সূর্য' এর সমার্থক শব্দ কোনটি?,নিগ্রহ,দিবাকর,কনক,অর্ণব,b
'মার্তণ্ড' শব্দের অর্থ কি?,সূর্য,মরুভূমি,চন্দ্র,আকাশ,a
কোনটি 'ভানু' শব্দের প্রতিশব্দ নয়?,রবি,সূর্য,শশী,প্রভাকর,c
কোনটি 'সূর্য' এর সমার্থক নয়-,সবিতা,অদ্রি,ভানু,পূষন,b
কোনটি 'সূর্য' শব্দের সমার্থক নয়?,মেদিনী,রবি,আদিত্য,প্রভাকর,a
'সূর্য' শব্দটির সমার্থক শব্দ নয় কোনটি?,ভানু,রবি,ভাস্কর,দ্বিজরাজ,d
কোনটি 'সূর্য' এর সমার্থক শব্দ নয়?,তপন,প্রভাকর,অর্ক,অর্ণব,d
'সূর্য' শব্দের সমার্থক শব্দ নয় নিচের কোনটি?,সুধাংশু,আদিত্য,ভাস্কর,মার্তণ্ড,a
'সূর্য'- এর সমার্থক শব্দ নয়-,সুধাকর,রবি,দিবাকর,প্রভাকর,a
'সূর্য' এর প্রতিশব্দ নয় কোনটি?,দিবাকর,বিভাবসু,হিমকর,দিনকর,c
নিচের কোনটি 'সূর্য' এর প্রতিশব্দ নয়?,বিভাকর,বিবস্বান,মিহির,উর্বী,d
সন্ধ্যা'র সমার্থক শব্দ কোনটি?,প্রাহ্ণ,অপ্ররাহ্ণ,সায়াহ্ন,তামসী,c
'সায়ন্তন' শব্দটির প্রকৃত অর্থ কী?,সকাল,সন্ধ্যা,দুপুর,রাত্রি,b
'প্রদোষ' শব্দের অর্থ কি?,সন্ধ্যা,প্রভাত,প্রকৃষ্ট দোষ,বিনিষ্ট,a
'সমুদ্র' শব্দের সমার্থক শব্দ কোনটি?,নীরদ,উদধি,মার্তণ্ড,অবনি,b
'সায়র' কোন শব্দের কাব্যিক রূপ?,সাগর,সন্ধ্যা,সূর্য,সখা,a
'সমুদ্র' এর সমার্থক শব্দ কোনটি?,রদনী,নদীকান্ত,কলত্র,আপ্লব,b
'পাথর' শব্দের অর্থ কি?,সৈকত,শৈল,সুধাংশু,সমুদ্র,d
'পাথর' এর সমার্থক শব্দ-,তটিনী,অর্ণব,শৈল,বন্দর,b
'সমুদ্র' এর প্রতিশব্দ-,দিবাকর,রত্মাকর,প্রভাকর,জলধর,b
'সমুদ্র' এর সমার্থক শব্দ-,অভ্র,বারি,সিন্ধু,সলিল,c
'সাগর' শব্দের কোন প্রতিশব্দ জোড় সঠিক?,"সমুদ্র, স্রোতস্বিনী","পাথর, অম্বু","সমুদ্র, বারিধি","জলধি, জলাধার",c
নিচের কোনটি 'সমুদ্র' শব্দটির সমার্থক শব্দ নয়?,সাগর,বারিধি,সিন্ধু,তরঙ্গ,d
কোনটি 'সাগর' শব্দের প্রতিশব্দ নয়?,অর্ণব,পাথর,সবিতা,পায়োধি,c
কোন শব্দটি 'সাগর' শব্দটির সমার্থক শব্দ নয়?,জলধি,পাথার,অর্ণব,ভূপতি,d
'সমুদ্র' শব্দের সমার্থক শব্দ নয় কোনটি?,সাগর,স্রোতস্বিনী,পারাবার,অর্ণব,b
নিচের কোনটি 'সমুদ্র' শব্দের সমার্থক শব্দ নয়?,রত্নাকর,প্রবাহিনী,জলধি,অর্ণব,b
'সমুদ্র' শব্দের সমার্থক শব্দ নয় কোনটি?,বারিধি,অদ্রি,মকরালয়,অর্ণব,b
'সমুদ্র'- এর সমার্থক শব্দ নয় কোনটি?,পয়োধি,অর্ণব,বারীশ,অর্যমা,d
'সাগর' শব্দের সমার্থক নয়-,রত্নাকার,পয়োধি,অর্ণব,অম্বর,d
'সাপ' শব্দের সমার্থক কোনটি?,অর্ণব,গজ,অহি,সুর,c
'সাপ' শব্দের সমার্থক শব্দ কোনটি?,মৃগরাজ,ভুজঙ্গ,অর্ণব,অশনি,b
'সর্প' শব্দের সমার্থক নয় কোনটি?,সাপ,এহি,বায়ুভুক,হরি,b
'সর্প' শব্দের সমার্থক শব্দ নয় কোনটি?,অহি,পন্নগ,উরগ,দিনমণি,d
'উরগ' সমার্থক শব্দ-,সাপ,গরু,কেচোঁ,তীর,a
'কাকোদর' শব্দটির সমার্থক শব্দ-,সাপ,গরু,কেচোঁ,ঘোড়া,a
'আশীবিষ' এর অর্থ কি?,ভুজঙ্গ,মার্তণ্ড,হুতাশন,মাতঙ্গ,a
'শত্রু' শব্দের সমার্থক শব্দ কোনটি?,রিপু,পারীন্দ্র,ফণী,ত্রিযামা,a
'সিত' শব্দের প্রতিশব্দ কোনটি?,শীত,অন্ধকার,বস্ত্র,শুল্ক,d
'সিত' শব্দের অর্থ কী?,কালো,সাদা,সবুজ,কমলা,b
'জয়া' শব্দের সমার্থক শব্দ-,অর্ধাঙ্গিনী,কন্যা,নন্দিনী,ভগিনী,a
কোনটি 'সড়গড়' শব্দের অর্থ নয়?,স্মৃতিগত,অভ্যস্ত,অসংগত,রপ্ত,c
'রাতুল' শব্দের অর্থ-,লাল মোরগ,লাল পদ্ম,লাল শালুক,লাল,d
প্রতিশব্দদ্বয়-,প্যান্ট-কোর্তা,মৎস্য-মাংস,লাল-লোহিত,ফ্রট-ফুল,c
'পত্নী' শব্দের সঠিক অর্থ কোনটি?,দ্বার,দ্বারা,দারা,দেবত্র,c
'ভার্যা' শব্দের অর্থ হলো-,ভাবি,স্ত্রী,সতীন,মা,b
'চারু' শব্দটির প্রতিশব্দ কোনটি?,হেম,রম্য,কর,অন্ত,b
কোনটি সুন্দরের সমার্থক শব্দ নয়?,সুচারু,সুকান্ত,সুবর্ণ,শোভন,c
'শ্রীঘর'- এর বৈশিষ্ট্যপূর্ণ অর্থ কি?,সুদৃশ্য ঘর,বৈঠকখানা,জেলখানা,সরাইখানা,c
'স্বর্গ'- এর সমার্থক শব্দ কোনটি?,সবিতা,উদধি,ভৃঙ্গ,ত্রিদিব,d
'অমরাবতী' শব্দটির প্রতিশব্দ কোনটি?,নদী,পর্বত,স্বর্গ,মেঘপুঞ্জ,c
'মৃগেন্দ্র' এর প্রতিশব্দ-,মৃগ,মৃগী,সিংহ,মৃগয়া,c
'হেম' শব্দের অর্থ কি?,সুধাকর,রত্ন,মুক্তা,স্বর্ণ,d
'কাঞ্চন' শব্দের সমার্থক শব্দ কোনটি?,চাঁদ,সূর্য,পদ্ম,স্বর্ণ,d
কোনটি 'স্বর্ণ' এর সমার্থক শব্দ নয়?,শোনা,কনক,সুবর্ণ,হিরণ্য,a
'হরিণ' শব্দের প্রতিশব্দ-,শশক,কুরঙ্গ,শৃঙ্গ,চমরী,b
'হরিণ' শব্দের সমার্থক শব্দ কোনটি?,শম্বর,দ্বিপ,করী,কেশরী,a
'হরিণ' শব্দের সমার্থক শব্দ কোনটি?,দ্বিপ,মৃগ,মাতঙ্গ,গেজ,b
'শম্বর' অর্থ কি?,ব্যাঘ্র,জলহস্তী,হরিণ,সিংহ,c
'তার ব্যক্তিসত্ত্ব এখানো বিকাশিত হয়নি'- এখানে 'সত্ত্ব' কী অর্থে ব্যবহৃত হয়েছে?,অস্তিত্ব,মালিকানা,স্বামিত্ব,যথার্থ,a
'হাতি' শব্দের প্রতিশব্দ কোনটি?,কুরঙ্গ,ভুজঙ্গ,করী,কেশরী,c
'হস্তী'র সমার্থক শব্দ-,তুরগ,কুঞ্জর,অরূরু,বাজী,b
'মাতঙ্গ' কার সমার্থক?,হরিণ,হাত,হাতি,সাপ,c
'হাতি' শব্দের সমার্থক শব্দ কোনটি?,অম্বু,কায়া,গজ,নেত্রবারি,c
'ঐরাবত' কার সমার্থক?,ঘোড়া,হাতি,সাপ,হরিণ,b
'ঐরাবত' শব্দের প্রতিশব্দ কোনটি?,দিপু,দ্বিপ,দ্বীপ,দীপ,b
'হাতি' শব্দের সমার্থক নয় কোনটি?,কুঞ্জর,বারণ,হস্তী,উরগ,d
'পাণি' শব্দের অর্থ-,জল,হাত,পরিস্কার,সৌন্দর্য,b
'অনুশাসন' শব্দের সমার্থক শব্দ কোনটি?,অনুশীলন,অনুসরণ,আদেশ,অনুরূপ,c
'অনুবন্ধ' শব্দের সমার্থক শব্দ কোনটি?,অনুরোধ,সানুগ্রহ,সূত্রপাত,অটুট,a
'অনির্বচনীয়' শব্দটির অর্থ-,সুনিশ্চিত,নির্বাচনযোগ্য নয়,বর্ণনাতীত,অনিশ্চিত,c
'অপাঙ্গ' শব্দের অর্থ-,প্রতি অঙ্গ,আপাদমস্তক,ভিন্নাঙ্গ,দৃষ্টিকোণ,d
'অকিঞ্চন' শব্দটির অর্থ-,নিঃস্ব,অনাবৃত,নির্ভাজ,নির্দয়,a
'অগ্নিমান্দ্য' শব্দটির অর্থ-,দিবারাত্রি,জীর্ণতা,অজীর্ণতা,পাকস্থলির রোগ,c
'অনিন্দ্য' শব্দের অর্থ কি?,নন্দিত,নিন্দিত,মহৎ,নিন্দার যোগ্য,a
'অবিদিত' শব্দের অর্থ কি?,জানা,অজানা,বেদনা,অস্থির,b
'অরুম্ভদ' শব্দের অর্থ-,ভয়ংকর,মর্মান্তিক,রাজকীয়,পিপাসিত,b
'অনন্তর' শব্দের অর্থ-,নিরন্তর,অন্তর নেই যার,অতঃপর,পৃথিবী,c
'অনুযোগ' শব্দের অর্থ কি?,বিরক্তি,আক্ষেপ,নালিশ,আন্তরিকতা,c
'অপলাপ' শব্দের অর্থ কি?,মিথ্যাচার,অস্বীকার,প্রলাপ,সদালাপ,b
'অর্বাচীন' শব্দের অর্থ কি?,বোকা,মূর্খ,নির্বোধ,সরল,b
'অবলীলা' শব্দের অর্থ কি?,খেলাধুলা,স্বাচ্ছন্দ্য,অবহেলা,অনুশোচনা,b
'অগ্নি-সহ' শব্দের অর্থ-,ধূমপানের উপকরণ,দেয়াশলাই,যাতে আগুন লাগে,যা আগুনে পোড়ে না,d
'অধমর্ণ' শব্দের অর্থ-,মারা,আধমারা,বিনয়ী,ঋণী,d
'অছি' শব্দের অর্থ-,মশা,নিরাপত্তা,অভিভাবক,মনোনয়ন,c
'অত্যহিত' শব্দের অর্থ-,অতি উপকার,অতি অনিষ্ট,ঘনিষ্ট,সন্নিকট,b
'অনিকেত' শব্দের অর্থ কি?,অল্পভাষী,গায়ক,গৃহহীন,অসুন্দর,c
'অপ্রতুল' শব্দের অর্থ কি?,অপ্রয়োজনীয়,অভাব,অপর্যাপ্ত,অসমান,b
'অয়োময়' শব্দের অর্থ কি?,লৌহময়,পেঁচানো,দুর্বোধ্য,বাঁজে,a
'অনীক' শব্দের অর্থ-,সূর্য,সমুদ্র,যুদ্ধক্ষেত্র,সৈনিক,d
