question,a,b,c,d,answer
'সংখ্যা' এর সঠিক সন্ধি বিচ্ছেদ :,সম্‌ + খ্যা,সমঃ + খা,সম্‌ + খা,সং + খা,a
'সংগীত' এর শুদ্ধ সন্ধি বিচ্ছেদ কোনটি?,সং + গীত,সং + গিত,সম্‌ + গিত,সম্‌ + গীত,d
সন্ধি নির্ণয় করঃ সংসার = সম্‌ + সার,স্বরসন্ধি,খাঁটি বাংলা সন্ধি,বিসর্গসন্ধি,ব্যঞ্জনসন্ধি,d
'সংশপ্তক' শব্দের সন্ধি বিচ্ছেদ-,সম্‌ + শপ্তক,সং + শপ্তক,সম + শপ্ত + ক,সং + শপ্ত + এক,a
কোন বানানটি শুদ্ধ?,সংসপ্তক,সংশপ্তক,শংসপ্তক,শংশপ্তক,b
'শঙ্কা' শব্দের সঠিক সন্ধি বিচ্ছেদ কোনটি?,সং + বিধান,সং + অবিধান,সম্‌ + বিধান,সম + ধান,c
'সদাশয়' শব্দের সন্ধি বিচ্ছেদ কোনটি?,সদ + আশয়,সদা + শয়,সৎ + আশয়,সৎ + শয়,c
'সদানন্দ' সন্ধি বিচ্ছেদ হল-,সদ + আনন্দ,সদা + নন্দ,সৎ + আনন্দ,সদ + অ + নন্দ,c
'সুবন্ত' এর সন্ধি বিচ্ছেদ-,সুব + অন্ত,সুপ্‌ + অন্ত,সুভ + অন্ত,সু + অন্ত,b
সম্‌ + কার = সংস্কার' কোন সন্ধির অন্তর্ভুক্ত?,বিসর্গ সন্ধি,বিশেষ নিয়মে সাধিত সন্ধি,বিশেষ বিসর্গ সন্ধি,ব্যঞ্জনসন্ধি,b
কোনটি ব্যঞ্জন সন্ধির নিয়মে হয়েছে?,রমেশ,ণিজন্ত,মনোযোগ,বিদ্যালয়,b
সন্ধিজাত শব্দ-,উন্মনা,দখিনা,ফাল্গুন,মিনতি,a
কোনটি সন্ধিজাত শব্দ?,শীতল,সংখ্যা,অধিকার,তোমার,b
বিশেষ নিয়মে সাধিত সন্ধির উদাহরণ?,আশ্চর্য,উত্থান,ষষ্ঠ,পরস্পর,b
